id;createdTime;ESQUEMA;TABLA;ID_ORIGEN;MODELO
recYJQNnn0lyZAuKy;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_customerentity_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_customerentity_vw;
recYPTndlZ1euCwai;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_eavattribute_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_eavattribute_vw;
recZRgiOgicUL5CDL;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scorepropensionrevistas_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scorepropensionrevistas_vw;
recZVtGawlFCXwULs;2020-06-22T01:17:25.000Z;s3raw;datalake-produccion-rawdata/fac_promociones_impactados;s3raw.datalake-produccion-rawdata/fac_promociones_impactados;
reca1FGDJB3NzFCxS;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_locales_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_locales_vw;
recaTJRjqYyfh8zq6;2020-06-22T01:17:25.000Z;dwh;DIM_PRODUCTOS_CUPONES;dwh.DIM_PRODUCTOS_CUPONES;
recbGrB2acx3SuioD;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_pr_migracionpagodigital_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_pr_migracionpagodigital_vw;
reccFrOIPY3z5i2ke;2020-06-22T01:17:25.000Z;telesoft;CR.PRODUCTOMOROSO;telesoft.CR.PRODUCTOMOROSO;
reccXAGyfd38tXWHO;2020-06-22T01:17:25.000Z;s3raw;datalake-produccion-rawdata/dim_clientes;s3raw.datalake-produccion-rawdata/dim_clientes;
recco7cKdy3FExK8T;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductindexprice_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductindexprice_vw;
recd6BLVOyLCCH9EB;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/megrcaj;core./usr/cobol/salto/arch/megrcaj;
recdgq3SqBgPw7WWV;2020-06-22T01:17:25.000Z;dwh;FAC_SCORE_COMPORTAMIENTO;dwh.FAC_SCORE_COMPORTAMIENTO;
receG7s1RgNUZiBCF;2020-06-22T01:17:25.000Z;dwh;DIM_CUENTAS;dwh.DIM_CUENTAS;
receeNoCac90XdXPB;2020-06-22T01:17:25.000Z;s3raw;s3://datalake-produccion-rawdata/core-naranja/mq/mq_transacciones;s3raw.s3://datalake-produccion-rawdata/core-naranja/mq/mq_transacciones;
receeVoGoQlAOfp1M;2020-06-22T01:17:25.000Z;telesoft;Monto de pago;telesoft.Monto de pago;
recehG6wJnRJ3OTrw;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mcotizacion;core./usr/cobol/salto/arch/mcotizacion;
recfFcgeeIOtWG3ZK;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogcategoryentityvarchar_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogcategoryentityvarchar_vw;
recfonc6BXT49rqZ3;2020-06-22T01:17:25.000Z;dwh;FAC_MORA_ESTADOS;dwh.FAC_MORA_ESTADOS;
recgVrfnmxzpwqsiQ;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_pr_scoremoratardia_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_pr_scoremoratardia_vw;
recggerAAPe3yqeQ2;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_eaventitytype_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_eaventitytype_vw;
rechOMwQ3HcOwVNgl;2020-06-22T01:17:25.000Z;s3raw;corenaranja.core_mq_cotizaciones;s3raw.corenaranja.core_mq_cotizaciones;
rechQ7M3HfE2o53y0;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_ar_locales_daily_snapshot_vw;dlanalytics.db_naranja_facts_analytics.tb_ar_locales_daily_snapshot_vw;
rechVAqB6zw1jBaGM;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductrelation_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductrelation_vw;
rechpnTuNv5dtbIht;2020-06-22T01:17:25.000Z;telesoft;CR.FAC_FCR_PROPORCIONES;telesoft.CR.FAC_FCR_PROPORCIONES;
rechsVL7B4PtHd5Gg;2020-06-22T01:17:25.000Z;telesoft;CR.SCORE_MORA_TARDIA;telesoft.CR.SCORE_MORA_TARDIA;
reciTRPJ56V9oddSo;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_autorizaciones_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_autorizaciones_vw;
reciniXp5kakblDJQ;2020-06-22T01:17:25.000Z;sap;TiposPedidos;sap.TiposPedidos;
recjYpPRyO5Ms2TbR;2020-06-22T01:17:25.000Z;s3raw;db_naranja_sap_raw/tb_tipospedidos;s3raw.db_naranja_sap_raw/tb_tipospedidos;
reckD9fBUitWemtSN;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentityvarchar_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentityvarchar_vw;
reckOcDxGXLlOVewW;2020-06-22T01:17:25.000Z;dwh;FAC_REQUISITOS;dwh.FAC_REQUISITOS;
reckVLkkPQJpXW81Y;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogcategoryproduct_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogcategoryproduct_vw;
reckvqrDFSv5QujEa;2020-06-22T01:17:25.000Z;ics;COBRA.ACCOUNT;ics.COBRA.ACCOUNT;
reclM6F0Wqxw24cC3;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_clientedigital_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_clientedigital_vw;
recnB7U2PV4EdZZ5S;2020-06-22T01:17:25.000Z;core;mpropuestas-optadas;core.mpropuestas-optadas;
recndtpmYUvaGk3Rm;2020-06-22T01:17:25.000Z;core;mconta;core.mconta;
recniRoxdivpbMYAD;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderaddress_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderaddress_vw;
recnnIjvpLXcDes7H;2020-06-22T02:35:07.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dbanalytics_personas_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dbanalytics_personas_vw;
recnrHTN5ZaJ3jobx;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mdgiid;core./usr/cobol/salto/arch/mdgiid;
