id;createdTime;ID_MEDICION;CODIGO_MODELO;METRICA;VALOR;FECHA_MEDICION;TIPO_CARGA
recDOSzC1MZCZS8PE;2020-06-06T21:31:22.000Z;166;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.6795;2020-01-29T18:18:00.000Z;Manual
recF1zgow7O32tdXR;2020-06-06T21:30:11.000Z;153;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8616;2020-03-17T18:18:00.000Z;Manual
recFUrXw3H6oSgz4Q;2020-06-06T21:26:05.000Z;135;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.767;2020-02-17T18:18:00.000Z;Manual
recG5OmDwftLMg1Vx;2020-06-30T13:42:25.000Z;196;;;;;
recG8vExbPo3Xknve;2020-06-06T21:31:12.000Z;162;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.7907;2020-03-27T18:17:00.000Z;Manual
recGhLRcSR9XJmP2p;2020-06-06T21:26:03.000Z;134;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8069;2020-02-27T18:18:00.000Z;Manual
recHAcpz15PY5F04V;2020-06-06T21:31:12.000Z;164;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.7418;2020-02-27T18:18:00.000Z;Manual
recHCpezEG0ceh4mx;2020-06-06T21:25:58.000Z;119;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0394;2020-04-28T10:10:00.000Z;Manual
recHHRyJspqMNqeoI;2020-06-06T21:25:46.000Z;109;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0942;2020-04-28T10:10:00.000Z;Manual
recI4W6FSqRDaofmy;2020-06-09T13:43:49.000Z;169;['rectvYjSSnda2KzFN'];['recbKuTK5JC1pGKbk'];0.631;2020-06-09T12:36:00.000Z;Manual
recIo4QbOz95TwhQ6;2020-06-09T20:48:24.000Z;188;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.8731;2020-06-09T17:50:00.000Z;Manual
recIrPBE88mlhOVWC;2020-05-23T20:34:01.000Z;79;['recxgMb2Sqk07eRs5'];['recYoi2Haywrfwoyl'];4;2020-03-31T17:34:00.000Z;Manual
